Book_ID,Issued,Title,Authors,Genres
8770,2005-08-01,Milton,"Pattison, Mark, 1813-1884",Biographies
8771,2005-08-01,Jurgen: A Comedy of Justice,"Cabell, James Branch, 1879-1958",Fantasy; Banned Books from Anne Haight's list
8778,2005-08-01,The Water of the Wondrous Isles,"Morris, William, 1834-1896",Fantasy
8789,2004-08-07,"The vision of hell. By Dante Alighieri.Translated by Rev. Henry Francis Cary, M.A.and illustrated with the seventy-five designs of Gustave Doré.","Dante Alighieri, 1265-1321; Doré, Gustave, 1832-1883 [Illustrator]; Cary, Henry Francis, 1772-1844 [Translator]",Italy
8795,2004-08-05,"The Divine Comedy by Dante, Illustrated, Purgatory, Complete","Dante Alighieri, 1265-1321; Doré, Gustave, 1832-1883 [Illustrator]; Cary, Henry Francis, 1772-1844 [Translator]",Italy
8799,2004-08-02,"The Divine Comedy by Dante, Illustrated, Paradise, Complete","Dante Alighieri, 1265-1321; Doré, Gustave, 1832-1883 [Illustrator]; Cary, Henry Francis, 1772-1844 [Translator]",Italy
8800,2005-09-01,An Index of The Divine Comedy by Dante,"Dante Alighieri, 1265-1321; Doré, Gustave, 1832-1883 [Illustrator]; Cary, Henry Francis, 1772-1844 [Translator]",Best Books Ever Listings; Italy
8801,2005-09-01,Drum-Taps,"Whitman, Walt, 1819-1892",Poetry; US Civil War
8814,2005-09-01,"The Journal of a Mission to the Interior of Africa, in the Year 1805Together with Other Documents, Official and Private, Relating to the Same Mission, to Which Is Prefixed an Account of the Life of Mr. Park","Park, Mungo, 1771-1806; Whishaw, J. (John), 1765?-1840 [Editor]",Africa; Travel
8820,2005-09-01,A Treasury of War Poetry: British and American Poems of the World War 1914-1917,"Clarke, George Herbert, 1873-1953 [Editor]","Poetry; World War I; Bestsellers, American, 1895-1923"
8855,2005-09-01,Astral Worship,"Hill, J. H.",Paganism
8859,2005-09-01,True to the Old Flag: A Tale of the American War of Independence,"Henty, G. A. (George Alfred), 1832-1902",Children's Fiction
8866,2005-09-01,Wild Flowers Worth Knowing,"Blanchan, Neltje, 1865-1918; Dickinson, Asa Don, 1876-1960 [Editor]",Botany
8867,2005-09-01,The Magnificent Ambersons,"Tarkington, Booth, 1869-1946",Contemporary Reviews
8887,2005-09-01,Marjorie's New Friend,"Wells, Carolyn, 1862-1942",Children's Book Series
8899,2005-09-01,Three Weeks,"Glyn, Elinor, 1864-1943",Banned Books from Anne Haight's list
8900,2005-09-01,The London and Country Brewer,Anonymous,Crafts; Technology
8909,2005-09-01,"The System of Nature, or, the Laws of the Moral and Physical World. Volume 1","Holbach, Paul Henri Thiry, baron d', 1723-1789",Atheism
8910,2005-09-01,"The System of Nature, or, the Laws of the Moral and Physical World. Volume 2","Holbach, Paul Henri Thiry, baron d', 1723-1789",Atheism
8911,2004-08-30,"Explorations in AustraliaThe Journals of John McDouall Stuart During the Years 1858, 1859, 1860, 1861, and 1862, When He Fixed the Centre of the Continent and Successfully Crossed It from Sea to Sea","Stuart, John McDouall, 1815-1866",Travel; Australia
8914,2005-09-01,"England, My England","Lawrence, D. H. (David Herbert), 1885-1930",United Kingdom
8931,2005-09-01,The Gem Collector,"Wodehouse, P. G. (Pelham Grenville), 1881-1975",Humor
8938,2005-09-01,"Zenobia; or, the Fall of Palmyra","Ware, William, 1797-1852",Historical Fiction
8993,2005-09-01,The Mysterious Island,"Verne, Jules, 1828-1905; White, Stephen W. (Stephen William), 1840-1914 [Translator]",Movie Books; Science Fiction
8994,2005-09-01,What Katy Did,"Coolidge, Susan, 1835-1905",Children's Literature
8995,2005-09-01,What Katy Did Next,"Coolidge, Susan, 1835-1905",Children's Literature
8996,2005-09-01,Practical Suggestions for Mother and Housewife,"Miller, Marion Mills, 1864-1949; Waters, Theodore, 1870- [Editor]",Technology
8998,2005-09-01,"Paris as It Was and as It IsA Sketch Of The French Capital, Illustrative Of The Effects Of The Revolution","Blagdon, Francis William, 1778-1819",France
9055,2005-10-01,Bad Medicine,"Sheckley, Robert, 1928-2005",Science Fiction
9060,2005-10-01,"The Public Orations of Demosthenes, volume 1","Demosthenes, 384 BCE-322 BCE; Pickard-Cambridge, Arthur Wallace, Sir, 1873-1952 [Translator]",Classical Antiquity
9061,2005-10-01,"The Public Orations of Demosthenes, volume 2","Demosthenes, 384 BCE-322 BCE; Pickard-Cambridge, Arthur Wallace, Sir, 1873-1952 [Translator]",Classical Antiquity
9063,2005-10-01,The Penance of Magdalena and Other Tales of the California Missions,"Chase, J. Smeaton (Joseph Smeaton), 1864-1923",Christianity
9069,2005-10-01,Saint Augustin,"Bertrand, Louis, 1866-1941; O'Sullivan, Vincent, 1868-1940 [Translator]",Biographies
